id,soil_type,fertilizer_type,climate,humidity_level,pest_disease_management,plant_time,crop_harvested,water_temperature,harvest_colour,seed_supplier,season,distance_to_retailer,harvest_yield
1,Loamy,Compost,Tropical,83,Integrated Pest Management,Winter,Corn,21C,Medium-Rare,GreenFields,Spring,131km,50%
2,Loamy,Chemical,Arid,62,Biological Control - Predatory Insects,Autumn,Potato,32C,Medium-Well,FarmGrow Inc.,Spring,133km,24%
3,Clay,Compost,Arid,61,Chemical Control - Organic Pesticides,Late Summer,Carrot,25C,Well-Done,AgriSeeds Co.,Spring,134km,98%
4,Clay,Organic,Arid,74,Chemical Control - Synthetic Pesticides,Late Spring,Wheat,20C,Medium-Rare,FarmGrow Inc.,Autumn,130km,39%
5,Sandy,Compost,Tropical,63,Integrated Pest Management,Late Spring,Wheat,27C,Medium-Rare,CropLife Solutions,Spring,132km,50%
6,Clay,Chemical,Tropical,76,Chemical Control - Organic Pesticides,Early Spring,Wheat,20C,Medium,AgriSeeds Co.,Autumn,133km,45%
7,Saline,Organic,Arid,68,Chemical Control - Synthetic Pesticides,Early Summer,Carrot,26C,Overdone,FarmGrow Inc.,Winter,130km,35%
8,Loamy,Compost,Arid,75,Integrated Pest Management,Late Spring,Potato,33C,Overdone,GreenFields,Summer,131km,45%
9,Sandy,Organic,Temperate,68,Chemical Control - Synthetic Pesticides,Late Summer,Lettuce,28C,Medium-Rare,AgriSeeds Co.,Summer,134km,54%
10,Clay,Chemical,Temperate,71,Biological Control - Predatory Insects,Early Spring,Potato,34C,Overdone,GreenFields,Winter,130km,53%
11,Loamy,Chemical,Arid,71,Biological Control - Predatory Insects,Early Spring,Potato,33C,Medium-Well,GreenFields,Autumn,134km,28%
12,Saline,Organic,Temperate,71,Chemical Control - Organic Pesticides,Early Summer,Wheat,29C,Overdone,FarmGrow Inc.,Winter,132km,80%
13,Loamy,Chemical,Temperate,79,Chemical Control - Synthetic Pesticides,Early Spring,Potato,22C,Overdone,GreenFields,Spring,131km,39%
14,Clay,Chemical,Tropical,62,Integrated Pest Management,Late Spring,Corn,28C,Medium,AgriSeeds Co.,Autumn,133km,96%
15,Loamy,Chemical,Arid,81,Chemical Control - Synthetic Pesticides,Late Spring,Wheat,24C,Medium-Well,AgriSeeds Co.,Spring,130km,30%
16,Loamy,Compost,Tropical,68,Biological Control - Predatory Insects,Autumn,Tomato,29C,Rare,FarmGrow Inc.,Autumn,128km,60%
17,Saline,Organic,Tropical,76,Biological Control - Predatory Insects,Winter,Carrot,30C,Medium-Rare,GreenFields,Spring,134km,20%
18,Loamy,Compost,Arid,79,Integrated Pest Management,Autumn,Wheat,33C,Rare,FarmGrow Inc.,Summer,129km,71%
19,Sandy,Chemical,Arid,77,Biological Control - Predatory Insects,Late Summer,Carrot,25C,Medium-Well,CropLife Solutions,Spring,131km,66%
20,Sandy,Chemical,Tropical,73,Chemical Control - Organic Pesticides,Late Spring,Carrot,32C,Medium-Well,GreenFields,Summer,129km,96%
21,Saline,Organic,Tropical,62,Chemical Control - Organic Pesticides,Early Spring,Tomato,23C,Well-Done,FarmGrow Inc.,Summer,134km,54%
22,Sandy,Compost,Arid,78,Chemical Control - Organic Pesticides,Late Summer,Potato,29C,Overdone,GreenFields,Spring,132km,67%
23,Loamy,Compost,Tropical,65,Integrated Pest Management,Early Summer,Corn,20C,Medium-Well,CropLife Solutions,Summer,130km,90%
24,Loamy,Compost,Arid,64,Chemical Control - Synthetic Pesticides,Autumn,Tomato,32C,Overdone,GreenFields,Spring,129km,53%
25,Loamy,Chemical,Tropical,68,Chemical Control - Organic Pesticides,Winter,Tomato,29C,Medium,CropLife Solutions,Winter,129km,99%
26,Loamy,Chemical,Temperate,67,Chemical Control - Synthetic Pesticides,Autumn,Tomato,30C,Medium-Rare,AgriSeeds Co.,Winter,133km,83%
27,Loamy,Compost,Tropical,78,Integrated Pest Management,Autumn,Carrot,22C,Well-Done,CropLife Solutions,Winter,134km,29%
28,Sandy,Chemical,Temperate,60,Integrated Pest Management,Late Spring,Lettuce,26C,Well-Done,FarmGrow Inc.,Autumn,129km,43%
29,Clay,Organic,Arid,73,Integrated Pest Management,Late Summer,Corn,27C,Medium-Well,FarmGrow Inc.,Spring,133km,20%
30,Loamy,Chemical,Arid,74,Chemical Control - Synthetic Pesticides,Late Summer,Lettuce,26C,Medium-Well,CropLife Solutions,Summer,132km,31%
